[1-15][est]:0.999999999999, [payload]:0, [RSSI]:236 
[1-16][est]:0.999999999995, [payload]:0, [RSSI]:237 
[1-17][est]:0.999999998051, [payload]:0, [RSSI]:237 
[1-18][est]:0.999957081758, [payload]:0, [RSSI]:235 
[1-19][est]:0.982980999223, [payload]:0, [RSSI]:234 
[1-20][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-21][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-22][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-23][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-24][est]:0.514072889335, [payload]:f0, [RSSI]:232 
[1-25][est]:0.514072889335, [payload]:dd, [RSSI]:232 
[1-26][est]:0.514072889335, [payload]:a0, [RSSI]:232 
[1-27][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-28][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-29][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-30][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-31][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-32][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-33][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-34][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-35][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-36][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-37][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-38][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-39][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-40][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-41][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-42][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-43][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-44][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-45][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-46][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-47][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-48][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-49][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-50][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-51][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-52][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-53][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-54][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-55][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-56][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-57][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-58][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-59][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-60][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-61][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-62][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-63][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-64][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-65][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-66][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-67][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-68][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-69][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-70][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-71][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-72][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-73][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-74][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-75][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-76][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-77][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-78][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-79][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-80][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-81][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-82][est]:0.514072889335, [payload]:0, [RSSI]:232 
[1-83][est]:0.514072889335, [payload]:0, [RSSI]:232 
[2-0][est]:0.995833738362, [payload]:0, [RSSI]:227 
[2-1][est]:0.995833738362, [payload]:0, [RSSI]:227 
[2-2][est]:0.970014442467, [payload]:0, [RSSI]:227 
[2-3][est]:0.814062981158, [payload]:0, [RSSI]:227 
[2-4][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-5][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-6][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-7][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-8][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-9][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-10][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-11][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-12][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-13][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-14][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-15][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-16][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-17][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-18][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-19][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-20][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-21][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-22][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-23][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-24][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-25][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-26][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-27][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-28][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-29][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-30][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-31][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-32][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-33][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-34][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-35][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-36][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-37][est]:0.372070459507, [payload]:0, [RSSI]:226 
