[pilot][20-0][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-1][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-2][raw_rssi]:229, [spredRSSI]:227, [raw_data]:0
[20-3][raw_rssi]:231, [spredRSSI]:227, [raw_data]:0
[20-4][raw_rssi]:234, [spredRSSI]:227, [raw_data]:0
[20-5][raw_rssi]:232, [spredRSSI]:227, [raw_data]:0
[20-6][raw_rssi]:230, [spredRSSI]:227, [raw_data]:0
[20-7][raw_rssi]:228, [spredRSSI]:227, [raw_data]:0
[pilot][20-8][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-9][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-10][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-11][raw_rssi]:227, [spredRSSI]:228, [raw_data]:0
[20-12][raw_rssi]:227, [spredRSSI]:230, [raw_data]:0
[20-13][raw_rssi]:227, [spredRSSI]:233, [raw_data]:0
[20-14][raw_rssi]:230, [spredRSSI]:233, [raw_data]:0
[20-15][raw_rssi]:232, [spredRSSI]:234, [raw_data]:0
[pilot][20-16][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[20-17][raw_rssi]:233, [spredRSSI]:229, [raw_data]:0
[20-18][raw_rssi]:230, [spredRSSI]:229, [raw_data]:0
[20-19][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-20][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-21][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-22][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-23][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[pilot][20-24][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-25][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-26][raw_rssi]:227, [spredRSSI]:227, [raw_data]:fb
[20-27][raw_rssi]:227, [spredRSSI]:227, [raw_data]:e0
[20-28][raw_rssi]:227, [spredRSSI]:227, [raw_data]:d
[20-29][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-30][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[20-31][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
[pilot][20-32][raw_rssi]:227, [spredRSSI]:227, [raw_data]:0
