[pilot][10-0][raw_rssi]:229, [spredRSSI]:227, [raw_data]:0
[10-1][raw_rssi]:228, [spredRSSI]:227, [raw_data]:0
[10-2][raw_rssi]:226, [spredRSSI]:227, [raw_data]:0
[10-3][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-4][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-5][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-6][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-7][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[pilot][10-8][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-9][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-10][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-11][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-12][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-13][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-14][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-15][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[pilot][10-16][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-17][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-18][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-19][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-20][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-21][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-22][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-23][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[pilot][10-24][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-25][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-26][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-27][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-28][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-29][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-30][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-31][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[pilot][10-32][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-33][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-34][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-35][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-36][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-37][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-38][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-39][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[pilot][10-40][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-41][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-42][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-43][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-44][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-45][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-46][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-47][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[pilot][10-48][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-49][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-50][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-51][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-52][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-53][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-54][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-55][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[pilot][10-56][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-57][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-58][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-59][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-60][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-61][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-62][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-63][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[pilot][10-64][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-65][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-66][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-67][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-68][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-69][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-70][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-71][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[pilot][10-72][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-73][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-74][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-75][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-76][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-77][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-78][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-79][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[pilot][10-80][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-81][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-82][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-83][raw_rssi]:224, [spredRSSI]:227, [raw_data]:0
[10-84][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[10-85][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[10-86][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[10-87][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[pilot][10-88][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[10-89][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[10-90][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[10-91][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[10-92][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[10-93][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[10-94][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[10-95][raw_rssi]:-1, [spredRSSI]:227, [raw_data]:0
[pilot][11-0][raw_rssi]:227, [spredRSSI]:226, [raw_data]:0
[11-1][raw_rssi]:227, [spredRSSI]:226, [raw_data]:e0
[11-2][raw_rssi]:227, [spredRSSI]:229, [raw_data]:a
[11-3][raw_rssi]:227, [spredRSSI]:231, [raw_data]:d0
