[1-3][est]:0.405465456013, [payload]:22, [RSSI]:227 
[1-4][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-5][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-6][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-7][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-8][est]:0.405465456013, [payload]:3f, [RSSI]:227 
[1-9][est]:0.405465456013, [payload]:ef, [RSSI]:227 
[1-10][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-11][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-12][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-13][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-14][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-15][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-16][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-17][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-18][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-19][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-20][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-21][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-22][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-23][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-24][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-25][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-26][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-27][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-28][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-29][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-30][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-31][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-32][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-33][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-34][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-35][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-36][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-37][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-38][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-39][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-40][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-41][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-42][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-43][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-44][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-45][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-46][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-47][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-48][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-49][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-50][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-51][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-52][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-53][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-54][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-55][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-56][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-57][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-58][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-59][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-60][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-61][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-62][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-63][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-64][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-65][est]:0.405465456013, [payload]:0, [RSSI]:227 
