[30-89][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[30-90][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[30-91][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[30-92][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[30-93][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[30-94][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[30-95][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[pilot][31-0][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-1][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-2][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-3][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-4][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-5][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-6][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-7][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[pilot][31-8][raw_rssi]:236, [spredRSSI]:235, [raw_data]:e0
[31-9][raw_rssi]:237, [spredRSSI]:235, [raw_data]:f
[31-10][raw_rssi]:240, [spredRSSI]:235, [raw_data]:7f
[31-11][raw_rssi]:242, [spredRSSI]:235, [raw_data]:0
[31-12][raw_rssi]:245, [spredRSSI]:235, [raw_data]:0
[31-13][raw_rssi]:246, [spredRSSI]:235, [raw_data]:0
[31-14][raw_rssi]:246, [spredRSSI]:235, [raw_data]:0
[31-15][raw_rssi]:246, [spredRSSI]:235, [raw_data]:0
[pilot][31-16][raw_rssi]:246, [spredRSSI]:235, [raw_data]:0
[31-17][raw_rssi]:246, [spredRSSI]:235, [raw_data]:0
[31-18][raw_rssi]:246, [spredRSSI]:235, [raw_data]:0
[31-19][raw_rssi]:246, [spredRSSI]:235, [raw_data]:0
[31-20][raw_rssi]:244, [spredRSSI]:235, [raw_data]:0
[31-21][raw_rssi]:243, [spredRSSI]:235, [raw_data]:0
[31-22][raw_rssi]:240, [spredRSSI]:235, [raw_data]:0
[31-23][raw_rssi]:238, [spredRSSI]:235, [raw_data]:0
[pilot][31-24][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-25][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-26][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-27][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-28][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-29][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-30][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-31][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[pilot][31-32][raw_rssi]:236, [spredRSSI]:237, [raw_data]:0
[31-33][raw_rssi]:236, [spredRSSI]:239, [raw_data]:0
[31-34][raw_rssi]:236, [spredRSSI]:240, [raw_data]:0
[31-35][raw_rssi]:236, [spredRSSI]:240, [raw_data]:0
[31-36][raw_rssi]:236, [spredRSSI]:239, [raw_data]:0
[31-37][raw_rssi]:236, [spredRSSI]:237, [raw_data]:0
[31-38][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-39][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[pilot][31-40][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-41][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-42][raw_rssi]:236, [spredRSSI]:235, [raw_data]:d0
[31-43][raw_rssi]:236, [spredRSSI]:235, [raw_data]:7
[31-44][raw_rssi]:236, [spredRSSI]:235, [raw_data]:b0
[31-45][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-46][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-47][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[pilot][31-48][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-49][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-50][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
