[0-0][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-1][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]35.8615788284 
[0-2][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]35.8615788284,[2]30.0178711443 
[0-3][est]:1.0, [payload]:da, [Metric-SINR]:[0]35.8615788284,[1]30.0178711443,[2]30.0178711443 
[0-4][est]:1.0, [payload]:f0, [Metric-SINR]:[0]30.0178711443,[1]30.0178711443,[2]28.2025264485 
[0-5][est]:1.0, [payload]:3, [Metric-SINR]:[0]30.0178711443,[1]28.2025264485,[2]26.6488767108 
[0-6][est]:1.0, [payload]:0, [Metric-SINR]:[0]28.2025264485,[1]26.6488767108,[2]28.2025264485 
[0-7][est]:1.0, [payload]:0, [Metric-SINR]:[0]28.2025264485,[1]32.3255133388,[2]32.3255133388 
[0-8][est]:1.0, [payload]:0, [Metric-SINR]:[0]32.3255133388,[1]32.3255133388,[2]35.8615788284 
[0-9][est]:1.0, [payload]:0, [Metric-SINR]:[0]32.3255133388,[1]35.8615788284,[2]35.8615788284 
[0-10][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]64.9986264231 
[0-11][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]64.9986264231,[2]64.9986264231 
[0-12][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-13][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-14][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-15][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-16][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-17][est]:1.0, [payload]:d, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-18][est]:1.0, [payload]:f0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-19][est]:1.0, [payload]:a, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-20][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-21][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-22][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-23][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-24][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-25][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]35.8615788284 
[0-26][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]35.8615788284,[2]35.8615788284 
[0-27][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-28][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-29][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-30][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]64.9986264231 
[0-31][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]64.9986264231,[2]64.9986264231 
[0-32][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-33][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-34][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-35][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-36][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-37][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-38][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-39][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-40][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-41][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-42][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]35.8615788284,[2]35.8615788284 
[0-43][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-44][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-45][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]64.9986264231 
[0-46][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]64.9986264231,[2]64.9986264231 
[0-47][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-48][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-49][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]35.8615788284,[2]35.8615788284 
[0-50][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-51][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-52][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-53][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-54][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-55][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-56][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]35.8615788284 
[0-57][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]64.9986264231 
[0-58][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]64.9986264231,[2]64.9986264231 
[0-59][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-60][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-61][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-62][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-63][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-64][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-65][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-66][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-67][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-68][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-69][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-70][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-71][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-72][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-73][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-74][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-75][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-76][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-77][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-78][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-79][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-80][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-81][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-82][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-83][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231 
[1-0][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-1][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-2][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-3][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-4][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-5][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-6][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-7][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-8][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-9][est]:1.0, [payload]:90, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-10][est]:1.0, [payload]:d, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]35.8615788284 
[1-11][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]35.8615788284,[2]35.8615788284 
[1-12][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]30.0178711443 
[1-13][est]:1.0, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]30.0178711443,[2]28.2025264485 
[1-14][est]:1.0, [payload]:0, [Metric-SINR]:[0]28.2025264485,[1]26.6488767108,[2]26.6488767108 
[1-15][est]:1.0, [payload]:0, [Metric-SINR]:[0]26.6488767108,[1]26.6488767108,[2]30.0178711443 
[1-16][est]:1.0, [payload]:0, [Metric-SINR]:[0]26.6488767108,[1]30.0178711443,[2]32.3255133388 
[1-17][est]:1.0, [payload]:0, [Metric-SINR]:[0]30.0178711443,[1]32.3255133388,[2]64.9986264231 
[1-18][est]:1.0, [payload]:0, [Metric-SINR]:[0]32.3255133388,[1]64.9986264231,[2]64.9986264231 
[1-19][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-20][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-21][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-22][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-23][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-24][est]:1.0, [payload]:f0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-25][est]:1.0, [payload]:dd, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-26][est]:1.0, [payload]:a0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-27][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-28][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-29][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-30][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-31][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-32][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-33][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-34][est]:1.0, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
