[0-79][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-80][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-81][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-82][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-83][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[1-0][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-1][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-2][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-3][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-4][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-5][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-6][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-7][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-8][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-9][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-10][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-11][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-12][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-13][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-14][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-15][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-16][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-17][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-18][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385901e-08 
[1-19][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385896e-08 
[1-20][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385896e-08 
[1-21][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385892e-08 
[1-22][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385899e-08 
[1-23][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385903e-08 
[1-24][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385903e-08 
[1-25][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-26][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-27][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-28][est]:0.678551091687, [payload]:f, [RSSI]:4.96175385904e-08 
[1-29][est]:0.678551091687, [payload]:f0, [RSSI]:4.96175385904e-08 
[1-30][est]:0.678551091687, [payload]:2, [RSSI]:4.96175385904e-08 
[1-31][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
[1-32][est]:0.678551091687, [payload]:0, [RSSI]:4.96175385904e-08 
