[0-65][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-66][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-67][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-68][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-69][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-70][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-71][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-72][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-73][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-74][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-75][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-76][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-77][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-78][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-79][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-80][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-81][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-82][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-83][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0 
[1-0][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-1][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-2][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-3][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-4][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-5][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-6][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-7][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-8][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-9][est]:0.513602482704, [payload]:90, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-10][est]:0.513602482704, [payload]:d, [Metric-RSSI]:[0]0,[1]0,[2]1 
[1-11][est]:0.886390607103, [payload]:0, [Metric-RSSI]:[0]0,[1]1,[2]1 
[1-12][est]:0.982949178475, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]3 
[1-13][est]:0.999682366724, [payload]:0, [Metric-RSSI]:[0]1,[1]3,[2]4 
[1-14][est]:0.999999985573, [payload]:0, [Metric-RSSI]:[0]4,[1]5,[2]5 
[1-15][est]:0.999999998047, [payload]:0, [Metric-RSSI]:[0]5,[1]5,[2]3 
[1-16][est]:0.999999893398, [payload]:0, [Metric-RSSI]:[0]5,[1]3,[2]2 
[1-17][est]:0.999956999775, [payload]:0, [Metric-RSSI]:[0]3,[1]2,[2]0 
[1-18][est]:0.982949167204, [payload]:0, [Metric-RSSI]:[0]2,[1]0,[2]0 
[1-19][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-20][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-21][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-22][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-23][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-24][est]:0.513602482704, [payload]:f0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-25][est]:0.513602482704, [payload]:dd, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-26][est]:0.513602482704, [payload]:a0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-27][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-28][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-29][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-30][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-31][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-32][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-33][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-34][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-35][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-36][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-37][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-38][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-39][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-40][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-41][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-42][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-43][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-44][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-45][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-46][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-47][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-48][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-49][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-50][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-51][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-52][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-53][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-54][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-55][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-56][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-57][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-58][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-59][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-60][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-61][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-62][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
