[0-76][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-77][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-78][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-79][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-80][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-81][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-82][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-83][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]0 
[1-0][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-1][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-2][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-3][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-4][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-5][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-6][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-7][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-8][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-9][est]:0.641234743761, [payload]:90, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-10][est]:0.58755009648, [payload]:d, [Metric-SINR]:[0]35.8615788284,[1]64.9986264231,[2]64.9986264231 
[1-11][est]:0.531725822878, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]64.9986264231 
[1-12][est]:0.521975003708, [payload]:0, [Metric-SINR]:[0]30.0178711443,[1]35.8615788284,[2]35.8615788284 
[1-13][est]:0.50830198502, [payload]:0, [Metric-SINR]:[0]28.2025264485,[1]30.0178711443,[2]35.8615788284 
[1-14][est]:0.49657131825, [payload]:0, [Metric-SINR]:[0]26.6488767108,[1]26.6488767108,[2]28.2025264485 
[1-15][est]:0.504394618646, [payload]:0, [Metric-SINR]:[0]30.0178711443,[1]26.6488767108,[2]26.6488767108 
[1-16][est]:0.516120626109, [payload]:0, [Metric-SINR]:[0]32.3255133388,[1]30.0178711443,[2]26.6488767108 
[1-17][est]:0.58187988978, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]32.3255133388,[2]30.0178711443 
[1-18][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]32.3255133388 
[1-19][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-20][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-21][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-22][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-23][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-24][est]:0.641234743761, [payload]:f0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-25][est]:0.641234743761, [payload]:dd, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-26][est]:0.641234743761, [payload]:a0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-27][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-28][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-29][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-30][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-31][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-32][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-33][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-34][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-35][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-36][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-37][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-38][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-39][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-40][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-41][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-42][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-43][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-44][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-45][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-46][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-47][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-48][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-49][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-50][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-51][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-52][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-53][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-54][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-55][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-56][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-57][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-58][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-59][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-60][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-61][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-62][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-63][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-64][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-65][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-66][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-67][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-68][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-69][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-70][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-71][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-72][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-73][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
