[0-68][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-69][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-70][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-71][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-72][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-73][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-74][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-75][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-76][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-77][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-78][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-79][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-80][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-81][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-82][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-83][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-0][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-1][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-2][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-3][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-4][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-5][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-6][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-7][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-8][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-9][est]:1.43521990276e-34, [payload]:90, [Metric-SINR]:[0]-39.0013730305 
