[0-47][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]1 
[0-48][est]:0.000316152430972, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]0,[3]0,[4]0,[5]0 
[0-49][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]0,[5]0 
[0-50][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]1,[5]0 
[0-51][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]1,[5]1 
[0-52][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]1,[5]1 
[0-53][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]1,[5]1 
[0-54][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]1,[5]1 
[0-55][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]1,[5]1 
[0-56][est]:0.000318640959759, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]1,[3]1,[4]1,[5]1 
[0-57][est]:0.000316152804424, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]1,[4]1,[5]1 
[0-58][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]1,[5]1 
[0-59][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]1 
[0-60][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-61][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-62][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-63][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-64][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
