[0-0][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.000545406 
[0-1][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.000545406 
[0-2][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.000545406 
[0-3][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454064 
[0-4][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454068 
[0-5][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454081 
[0-6][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454081 
[0-7][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454088 
[0-8][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454088 
[0-9][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454088 
[0-10][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454088 
[0-11][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454088 
[0-12][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454088 
[0-13][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454088 
[0-14][est]:4.14972137517e-91, [payload]:d0, [RSSI]:-35.0005454076 
[0-15][est]:4.14972137517e-91, [payload]:ab, [RSSI]:-35.0005454072 
[0-16][est]:4.14972137517e-91, [payload]:33, [RSSI]:-35.0005454064 
[0-17][est]:4.14972137517e-91, [payload]:1d, [RSSI]:-35.0005454064 
[0-18][est]:4.14972137517e-91, [payload]:e5, [RSSI]:-35.0005454061 
[0-19][est]:4.14972137517e-91, [payload]:96, [RSSI]:-35.0005454059 
[0-20][est]:4.14972137517e-91, [payload]:bb, [RSSI]:-35.0005454059 
[0-21][est]:4.14972137517e-91, [payload]:ae, [RSSI]:-35.0005454059 
[0-22][est]:4.14972137517e-91, [payload]:e2, [RSSI]:-35.0005454059 
[0-23][est]:4.14972137517e-91, [payload]:a1, [RSSI]:-35.0005454059 
[0-24][est]:4.14972137517e-91, [payload]:f, [RSSI]:-35.0005454059 
[0-25][est]:4.14972137517e-91, [payload]:90, [RSSI]:-35.0005454059 
[0-26][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-27][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-28][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-29][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-30][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-31][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-32][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-33][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-34][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-35][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-36][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-37][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-38][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-39][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-40][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-41][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-42][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-43][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-44][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-45][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-46][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-47][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-48][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-49][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-50][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454059 
[0-51][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454062 
[0-52][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454064 
[0-53][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454066 
[0-54][est]:4.14972137517e-91, [payload]:0, [RSSI]:-35.0005454066 
[0-55][est]:4.14972137517e-91, [payload]:ef, [RSSI]:-35.0005454066 
